"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.078491180E2,6.532280769E1,2.537120073E1,1.538257418E1,1.049999952E0,2.611000061E2,1.020408154E0,2.000000000E0
1.088491184E2,6.532280702E1,2.537117240E1,1.538256500E1,1.079999924E0,2.651000061E2,1.020408154E0,2.000000000E0
1.098491187E2,6.532280606E1,2.537114290E1,1.538255556E1,1.110000014E0,2.662999878E2,1.020408154E0,2.000000000E0
1.108491191E2,6.532280480E1,2.537111306E1,1.538254615E1,1.120000005E0,2.587000122E2,1.020408154E0,2.000000000E0
1.118491194E2,6.532280338E1,2.537108313E1,1.438253678E1,1.110000014E0,2.593999939E2,1.020408154E0,2.000000000E0
1.128491198E2,6.532280191E1,2.537105321E1,1.438252744E1,1.100000024E0,2.631000061E2,1.020408154E0,2.000000000E0
1.138491202E2,6.532280053E1,2.537102345E1,1.438251811E1,1.079999924E0,2.660000000E2,1.020408154E0,2.000000000E0
1.148491206E2,6.532279918E1,2.537099403E1,1.438250888E1,1.059999943E0,2.700000000E2,1.020408154E0,2.000000000E0
1.158491210E2,6.532279780E1,2.537096503E1,1.438249980E1,1.039999962E0,2.668999939E2,1.020408154E0,2.000000000E0
1.168491215E2,6.532279642E1,2.537093570E1,1.338249062E1,1.039999962E0,2.631000061E2,1.020408154E0,2.000000000E0
1.178491218E2,6.532279495E1,2.537090577E1,1.338248127E1,1.049999952E0,2.652999878E2,1.020408154E0,2.000000000E0
1.188491222E2,6.532279336E1,2.537087476E1,1.338247162E1,1.090000033E0,2.590000000E2,1.020408154E0,2.000000000E0
1.198491227E2,6.532279156E1,2.537084274E1,1.238246173E1,1.120000005E0,2.585000000E2,1.020408154E0,2.000000000E0
1.208491231E2,6.532278963E1,2.537081047E1,1.238245181E1,1.149999976E0,2.636000061E2,1.020408154E0,2.000000000E0
1.218491236E2,6.532278762E1,2.537077761E1,1.238244174E1,1.179999948E0,2.612000122E2,1.020408154E0,2.000000000E0
1.228491240E2,6.532278552E1,2.537074434E1,1.238243156E1,1.189999938E0,2.548999939E2,1.020408154E0,2.000000000E0
1.238491244E2,6.532278313E1,2.537071064E1,1.338242138E1,1.199999928E0,2.640000000E2,1.020408154E0,2.000000000E0
1.248491249E2,6.532278116E1,2.537067602E1,1.338241070E1,1.230000019E0,2.707000122E2,1.020408154E0,2.000000000E0
1.258491254E2,6.532277936E1,2.537064082E1,1.338239974E1,1.250000000E0,2.700000000E2,1.020408154E0,2.000000000E0
1.268491258E2,6.532277781E1,2.537060486E1,1.338238842E1,1.289999962E0,2.712999878E2,1.020408154E0,2.000000000E0
1.278491263E2,6.532277655E1,2.537056848E1,1.338237681E1,1.309999943E0,2.730000000E2,5.102040768E-1,1.000000000E0
1.288491267E2,6.532277559E1,2.537053186E1,1.438236499E1,1.329999924E0,2.703999939E2,1.020408154E0,2.000000000E0
1.298491272E2,6.532277479E1,2.537049430E1,1.338235278E1,1.360000014E0,2.682999878E2,1.020408154E0,2.000000000E0
1.308491277E2,6.532277408E1,2.537045592E1,1.338234025E1,1.379999995E0,2.655000000E2,1.020408154E0,2.000000000E0
1.318491282E2,6.532277345E1,2.537041711E1,1.338232754E1,1.399999976E0,2.687999878E2,5.102040768E-1,1.000000000E0
1.328491287E2,6.532277287E1,2.537037805E1,1.338231473E1,1.419999957E0,2.658999939E2,5.102040768E-1,1.000000000E0
1.338491293E2,6.532277228E1,2.537033907E1,1.338230195E1,1.419999957E0,2.662000122E2,1.020408154E0,2.000000000E0
1.348491297E2,6.532277178E1,2.537030026E1,1.338228918E1,1.409999967E0,2.672999878E2,1.020408154E0,2.000000000E0
1.358491302E2,6.532277140E1,2.537026145E1,1.338227635E1,1.409999967E0,2.687000122E2,1.020408154E0,2.000000000E0
1.368491308E2,6.532277110E1,2.537022265E1,1.438226349E1,1.409999967E0,2.692000122E2,5.102040768E-1,2.000000000E0
1.378491313E2,6.532277090E1,2.537018367E1,1.438225053E1,1.419999957E0,2.690000000E2,1.020408154E0,2.000000000E0
1.388491318E2,6.532277085E1,2.537014461E1,1.438223746E1,1.429999948E0,2.656000061E2,1.020408154E0,2.000000000E0
1.398491324E2,6.532277077E1,2.537010572E1,1.438222447E1,1.429999948E0,2.636000061E2,1.020408154E0,2.000000000E0
1.408491330E2,6.532277060E1,2.537006691E1,1.438221155E1,1.439999938E0,2.661000061E2,1.020408154E0,2.000000000E0
1.418491335E2,6.532277048E1,2.537002861E1,1.438219878E1,1.429999948E0,2.687999878E2,5.102040768E-1,2.000000000E0
1.428491341E2,6.532277035E1,2.536999022E1,1.438218597E1,1.439999938E0,2.650000000E2,1.020408154E0,2.000000000E0
1.438491347E2,6.532277014E1,2.536995225E1,1.438217335E1,1.439999938E0,2.660000000E2,1.020408154E0,2.000000000E0
1.448491352E2,6.532276985E1,2.536991478E1,1.438216094E1,1.439999938E0,2.685000000E2,1.020408154E0,2.000000000E0
1.458491358E2,6.532276960E1,2.536987740E1,1.438214853E1,1.439999938E0,2.667999878E2,1.020408154E0,2.000000000E0
